model,MAE,RMSE,MASE,Bias
feature_model,34.227779216740934,55.76641964233552,0.6406843755047493,6.471451190522665
sarimax,36.63019627675522,64.16472400471332,0.6856534359877732,-2.3879558111177155
foundation_model,38.8922308437408,78.4057960544285,0.7279947808568694,-34.23914916931637
seasonal_naive_weekly,42.63392857142857,79.29026483676037,0.7980328413693866,-10.818452380952381
mean,50.319095845289134,74.9057320022781,0.9418857791929033,-3.1088025652599205
seasonal_naive_daily,86.95932539682539,129.23203031265183,1.6277270205988035,64.01289682539682
naive,250.6398809523809,258.81973857632954,4.691541761670009,247.7628968253968
drift,266.37295305016687,274.6111124071479,4.986037452083107,264.5006776132961
